country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",12-04-2025 09:00,16.5150833,80.5181667,NO2,27,36,31
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",12-04-2025 09:00,16.5150833,80.5181667,NH3,2,3,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",12-04-2025 09:00,14.675886,77.593027,PM2.5,63,91,78
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",12-04-2025 09:00,14.675886,77.593027,PM10,55,83,70
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",12-04-2025 09:00,13.20488,79.097889,PM2.5,34,220,74
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",12-04-2025 09:00,13.20488,79.097889,NO2,4,22,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",12-04-2025 09:00,13.20488,79.097889,OZONE,16,31,24
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",12-04-2025 09:00,14.465052,78.824187,OZONE,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",12-04-2025 09:00,26.071318,91.87488,PM2.5,40,415,224
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",12-04-2025 09:00,26.071318,91.87488,PM10,31,290,124
India,Assam,Guwahati,"IITG, Guwahati - PCBA",12-04-2025 09:00,26.2028636,91.70046436,PM10,60,140,100
India,Assam,Guwahati,"IITG, Guwahati - PCBA",12-04-2025 09:00,26.2028636,91.70046436,SO2,20,26,22
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",12-04-2025 09:00,26.10887,91.589544,NO2,17,22,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",12-04-2025 09:00,26.10887,91.589544,CO,18,48,29
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",12-04-2025 09:00,26.1875,91.744194,SO2,25,34,30
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",12-04-2025 09:00,26.1875,91.744194,CO,22,52,36
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",12-04-2025 09:00,16.9872867,81.7363176,NH3,3,13,7
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",12-04-2025 09:00,13.67,79.35,PM2.5,54,93,73
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",12-04-2025 09:00,13.67,79.35,PM10,49,97,70
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",12-04-2025 09:00,13.67,79.35,OZONE,36,59,48
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",12-04-2025 09:00,13.615387,79.40923,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",12-04-2025 09:00,16.536107,80.594233,CO,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",12-04-2025 09:00,25.376776,86.471523,PM2.5,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",12-04-2025 09:00,26.11442,85.39813,PM10,38,111,78
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",12-04-2025 09:00,26.11442,85.39813,NO2,5,17,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2025 09:00,25.586562,85.043586,PM2.5,37,79,60
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2025 09:00,25.586562,85.043586,NO2,27,35,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2025 09:00,25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2025 09:00,25.586562,85.043586,CO,36,62,44
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2025 09:00,25.586562,85.043586,OZONE,10,32,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",12-04-2025 09:00,16.509717,80.612222,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",12-04-2025 09:00,16.554731,80.64911,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",12-04-2025 09:00,16.554731,80.64911,OZONE,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",12-04-2025 09:00,17.72,83.3,NO2,36,81,51
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",12-04-2025 09:00,27.103358,93.679645,PM2.5,30,125,59
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",12-04-2025 09:00,27.103358,93.679645,NO2,4,5,5
